haircolor	count(1)
black, straight and longish	1
short Black hair	1
reddish/long	1
Down to rear	1
long mixed color	1
short and coloured	1
long dark wavy	1
Long blonde brunette	1
shoulder length.	1
Multi-Colored	1
short, straight, dark brown	1
Long, Brown.	1
Light brown. Shoulder length	1
short - light brown	1
Short; Black	1
brunette/auburn	1
multi color	1
Black and teal	1
very long dark red	1
Medium length	1
long nat med blonde	1
Long Curly dark	1
curls and more curls	1
dark red/auburn	1
long, dark blonde	1
short, dark brown	1
short, blond	1
waist length black hair	1
long brown with blonde highlights	1
constantly changing	1
Black / Long	1
salt and pepper dreads	1
Dark red with pink high lights	1
curl	1
black and purple	1
long,  brown	1
Long and natural.	1
Long and natural	1
Long-Brunette	1
auborn	1
rockabilly/pin up	1
Very short pixie and brown	1
i luv long hair	1
Blondie	1
Very sexy long highlighted	1
Strawberry Blondish right now ; )	1
long, silky dark brown	1
Dark Brown Soon To Be Firetruck Red	1
brown, past shoulders	1
black/purple	1
u better know what a RaZor is	1
dark brown long	1
Red/Black	1
average length, w/bangs.. brunnette	1
red, natural	1
short,light/brown/blonde	1
long straight blonde hair!	1
Long, brown and blonde	1
Gray / White	1
